# Monthly XCH4 background level and seasonal cycle derived from satellite observations.
# Input data: obs4MIPS v5.1 XCH4 (2003-2024) + GOSAT-1/FOCAL XCH4 (2025)
# Spatial range: 60S-60N, land
# Created by: Jonas Hachmeister, jonas_h@iup.physik.uni-bremen.de
# Reference: 10.5194/acp-24-577-2024, 10.5281/zenodo.18231071
# Date of creation: 2026-01-29T11:29:35
# Info: The level is the underlying XCH4 concentration without seasonal or short-term variability. Both level and seasonal cycle are estimated using a dynamic linear model (see reference).
time;level [ppb];level_and_seasonal_cycle [ppb]
2003-01;1734.7811522088807;1729.403556434623
2003-02;1735.2841317689295;1724.7761312731532
2003-03;1735.7866165365122;1726.9986188045
2003-04;1736.2809103851396;1731.4410585670307
2003-05;1736.7551923384017;1733.8594947303557
2003-06;1737.2109016080212;1735.7303636074078
2003-07;1737.6521076373465;1740.9118609453044
2003-08;1738.0570594312958;1745.4566525545338
2003-09;1738.402090035088;1744.6704437784597
2003-10;1738.6727071377682;1744.105248820032
2003-11;1738.85025940026;1746.2107613061148
2003-12;1738.9335389120843;1742.7763553828872
2004-01;1738.917554904826;1733.3427418327342
2004-02;1738.828566115889;1729.2453408551764
2004-03;1738.6823691828029;1730.279978197091
2004-04;1738.5130244694656;1732.078675580013
2004-05;1738.353585824171;1735.5983589752016
2004-06;1738.2219391049798;1739.1849476240452
2004-07;1738.1185714920416;1741.943103125155
2004-08;1738.0385866228598;1744.605739320608
2004-09;1737.9688927097507;1744.0484922556032
2004-10;1737.8825278955999;1742.7348162725561
2004-11;1737.721906250013;1743.5981103847125
2004-12;1737.4533927657978;1739.8584406553462
2005-01;1737.0525640062065;1730.6983662151656
2005-02;1736.5669659185287;1727.2753977572431
2005-03;1736.0068681024488;1727.3720440244583
2005-04;1735.3981694285364;1729.065372530388
2005-05;1734.791473238961;1734.5432909892781
2005-06;1734.1690536364504;1737.433840882533
2005-07;1733.5494192204696;1739.1205359698438
2005-08;1732.9645419700691;1740.8964718175928
2005-09;1732.4282083814976;1739.7244268210059
2005-10;1731.9841356520976;1736.9122417641572
2005-11;1731.668256082585;1731.462098166205
2005-12;1731.5919316545865;1728.647276889737
2006-01;1731.775885027028;1726.6857324150465
2006-02;1732.1697977298827;1721.7506739486414
2006-03;1732.7245315898133;1723.2995230465683
2006-04;1733.3705360270494;1731.4941747321402
2006-05;1734.0411128715511;1735.2491333437615
2006-06;1734.662772664422;1737.334964357868
2006-07;1735.2169935328045;1743.4950779632284
2006-08;1735.6890143728606;1744.686659612376
2006-09;1736.0943987387502;1740.7101332775394
2006-10;1736.4712582718046;1737.7446629886404
2006-11;1736.8123645872897;1736.3246735955138
2006-12;1737.098826799094;1737.5795707186642
2007-01;1737.3319357420273;1733.7494889872557
2007-02;1737.505299855035;1725.4097414108323
2007-03;1737.6798673542837;1730.2953758096724
2007-04;1737.8648381756236;1738.0135652815359
2007-05;1738.0901322406523;1737.0102568967802
2007-06;1738.4077140526701;1739.545245380056
2007-07;1738.8310847474147;1745.9367293495584
2007-08;1739.3866642712767;1748.8179627379898
2007-09;1740.0820671030422;1745.9074478922837
2007-10;1740.9355045191512;1740.122428132165
2007-11;1741.9788265375228;1741.29339835563
2007-12;1743.1896742544668;1745.0268729892327
2008-01;1744.521126173664;1739.2994983051835
2008-02;1745.9225459835943;1734.5971083084398
2008-03;1747.301099711552;1741.3379946265463
2008-04;1748.6057363352897;1748.5550389502273
2008-05;1749.7801260551075;1748.415620450679
2008-06;1750.809960387223;1751.0481596979776
2008-07;1751.6527244027413;1757.4020858628705
2008-08;1752.277280533108;1760.9008139625446
2008-09;1752.694198825468;1758.8019554276027
2008-10;1752.915232295231;1754.0313030125249
2008-11;1752.9961502058513;1755.4836951426894
2008-12;1752.9791385805545;1756.6866605908183
2009-01;1752.9411280038962;1748.489197790092
2009-02;1752.992576546151;1741.6182840443266
2009-03;1753.206062251135;1745.4874194322858
2009-04;1753.6009069464299;1752.5572714124855
2009-05;1754.1109904487307;1753.730990399793
2009-06;1754.6913966179;1753.4716316961699
2009-07;1755.3266588353708;1757.128358542625
2009-08;1756.0068973162813;1761.4331916144686
2009-09;1756.711520356867;1761.5588562990006
2009-10;1757.416750190794;1760.1128489264725
2009-11;1758.0869135922069;1761.0207381060868
2009-12;1758.7097398789808;1761.2964667846677
2010-01;1759.2705790335572;1757.8975892712378
2010-02;1759.7502915524622;1756.1671592611028
2010-03;1760.1424571968657;1757.4325009608665
2010-04;1760.4866257407227;1757.5104089034342
2010-05;1760.8605297601166;1757.3015409736947
2010-06;1761.3066320733221;1758.0035801269744
2010-07;1761.859294193279;1760.7644858893073
2010-08;1762.5252841152912;1765.1900366497184
2010-09;1763.295154053377;1767.4583425762078
2010-10;1764.136928851756;1766.7901378548943
2010-11;1765.0076409854018;1767.5430639718973
2010-12;1765.8773516912183;1768.687093865406
2011-01;1766.7102087117398;1766.86020679041
2011-02;1767.4680951872274;1766.3512699397236
2011-03;1768.1280947010737;1767.593463575749
2011-04;1768.675500091258;1765.943150853111
2011-05;1769.1248128990565;1764.7618410612708
2011-06;1769.4927333969108;1765.7887239214474
2011-07;1769.81077887614;1768.0601465210061
2011-08;1770.1197906921407;1772.5100536873015
2011-09;1770.4448435279444;1774.4538028355782
2011-10;1770.8106752035233;1772.733055529445
2011-11;1771.2223488457976;1773.466213015034
2011-12;1771.6727476664835;1774.990978916126
2012-01;1772.1336932929792;1772.7441720667064
2012-02;1772.5940283683262;1772.0619833446804
2012-03;1773.0341840322244;1772.608246577971
2012-04;1773.4583109906305;1770.0423248856002
2012-05;1773.8853462807372;1767.7672027084438
2012-06;1774.329580223737;1769.4342211519763
2012-07;1774.7923361032194;1773.724064212833
2012-08;1775.256617563464;1778.3447625735091
2012-09;1775.7055743365563;1780.6175036962522
2012-10;1776.1309078333704;1779.8263744144267
2012-11;1776.5280756877376;1779.408770956468
2012-12;1776.916158568903;1780.1377270689766
2013-01;1777.313501546623;1778.1678790111919
2013-02;1777.7495091756273;1775.8972647262858
2013-03;1778.248673656268;1776.0470950527367
2013-04;1778.8193728387582;1775.0459349343473
2013-05;1779.4409044899137;1773.2867188889675
2013-06;1780.0857104776899;1775.5946605174165
2013-07;1780.719189269355;1780.377791866525
2013-08;1781.3184671986387;1784.4456185773145
2013-09;1781.8762888060157;1786.638889169379
2013-10;1782.4061963416996;1786.2876938389256
2013-11;1782.9131236278495;1785.536581743966
2013-12;1783.422948193338;1786.2402214490917
2014-01;1783.9417449921355;1784.8512014959315
2014-02;1784.4750760877548;1783.4289419882714
2014-03;1785.024130946449;1783.860914282677
2014-04;1785.5904471305585;1782.367651089462
2014-05;1786.1753996536186;1780.5201157277097
2014-06;1786.7819018945706;1781.8986043716436
2014-07;1787.4136638799146;1785.3846537254606
2014-08;1788.0874704197176;1790.1920675456167
2014-09;1788.8009815867372;1792.960378040415
2014-10;1789.560295830444;1792.872816723149
2014-11;1790.3587113331612;1793.6199435448966
2014-12;1791.186491813932;1794.542649192852
2015-01;1792.028210726392;1793.0521061014194
2015-02;1792.8745514315206;1792.7317906434057
2015-03;1793.7161972902916;1793.6671388323243
2015-04;1794.5341138958393;1791.7658502023628
2015-05;1795.3337135536544;1789.620428979217
2015-06;1796.1320509733564;1790.3071102168306
2015-07;1796.9434865613352;1793.9516641236573
2015-08;1797.779008062501;1799.271001085543
2015-09;1798.633206265255;1802.285619760008
2015-10;1799.4933585326805;1803.3179684336221
2015-11;1800.3335625331752;1804.409156231054
2015-12;1801.1469246692093;1804.2552265096647
2016-01;1801.932198044787;1803.535226472042
2016-02;1802.691405172387;1803.8272627596984
2016-03;1803.4213457406781;1802.4253481168134
2016-04;1804.1367473390626;1800.2958289834803
2016-05;1804.8319297309106;1799.2480150850374
2016-06;1805.4847718619208;1799.4025927274954
2016-07;1806.0920357505313;1803.3825092995353
