# Monthly XCO2 background level and seasonal cycle derived from satellite observations.
# Input data: obs4MIPS v5.1 XCO2 (2003-2024) + GOSAT-1/FOCAL XCO2 (2025)
# Spatial range: 60S-60N, land
# Created by: Jonas Hachmeister, jonas_h@iup.physik.uni-bremen.de
# Reference: 10.5194/acp-24-577-2024, 10.5281/zenodo.18231071
# Date of creation: 2026-01-29T11:23:32
# Info: The level is the underlying XCO2 concentration without seasonal or short-term variability. Both level and seasonal cycle are estimated using a dynamic linear model (see reference).
time;level [ppm];level_and_seasonal_cycle [ppm]
2003-01;374.8717550065485;375.7694913857051
2003-02;374.85083079803735;376.3460088885423
2003-03;374.8331071296707;376.15322428406216
2003-04;374.82521425001323;375.74529575556517
2003-05;374.83978411369026;375.781658404856
2003-06;374.8836696241051;375.5376115194522
2003-07;374.95436545740813;374.2746959250071
2003-08;375.05476057948545;373.0620047351787
2003-09;375.17392573470124;373.11217693050224
2003-10;375.30452095042534;374.12784284415216
2003-11;375.43981201610984;375.0535150529233
2003-12;375.5745752664132;375.71018793237647
2004-01;375.7091884743731;376.45361197106627
2004-02;375.84618958104033;377.0488775819198
2004-03;375.98664839534143;377.18827053061705
2004-04;376.12300863144327;377.2262289835887
2004-05;376.2547289469012;377.4873720725029
2004-06;376.3754320285231;377.2131122297046
2004-07;376.48536407362224;375.9657355229952
2004-08;376.5888788534232;374.7188612637052
2004-09;376.69487911718005;374.60745550603247
2004-10;376.81107542238004;375.41232662642966
2004-11;376.94504934766286;376.33931560860157
2004-12;377.09824796142095;377.1763384655536
2005-01;377.2676505538209;377.98301662500114
2005-02;377.4522167314299;378.54329064185964
2005-03;377.65037175638423;378.8001211225763
2005-04;377.8542352665044;379.09028576558575
2005-05;378.0582921953622;379.41823952342867
2005-06;378.25826056264856;379.0792078396155
2005-07;378.45345053124646;377.88733271863913
2005-08;378.6472729805551;376.8637436019302
2005-09;378.8369634764874;376.8658222567553
2005-10;379.0230526564633;377.6461411463105
2005-11;379.20415597382026;378.5208245400297
2005-12;379.3806081087088;379.3827094878224
2006-01;379.55210777472655;380.2691159539449
2006-02;379.7189216888832;380.8618348328223
2006-03;379.88174627771787;381.0441875281992
2006-04;380.04574655946203;381.2418957222553
2006-05;380.21414925896124;381.4843826672108
2006-06;380.3891406283135;381.145572699587
2006-07;380.5681653264885;380.0417594746358
